rent	adress	description
1800	Rua Rafael Sampaio, Guanabara	Ótimo apartamento contendo 3 dormitórios sendo 1 suíte. Armários embutidos nos dormitórios, sala para 2 ambientes com lavabo e sacada, cozinha planejada, ampla área de serviço. Ban...
4500	Rua Nelson Alaite, Mansões Santo Antônio	Linda Cobertura duplex com 110m², no bairro mais charmoso de Campinas, com living para dois ambientes, 2 dormitórios com armários, cozinha planejada, área de serviço, banheiro soci...
1100	Rua Thomas Alva Edison, Jardim Bela Vista	Apartamento residencial para LocaçãoÓtimo apartamento com 02 dormitórios, cozinha com armários, lavanderia separada, banheiro, sacada. Boa Localização , próximo a merca...
1300	Rua Herminio Camargo Souza, Dic V Conjunto Habitacional Chico Mendes	Casa para locação no DIC 5, com 03 dormitórios, sendo 01 suíte, copa muito espaçosa, garagem coberta para 01 carro, armários planejados.SOBRE A IMOBILIÁRIA SIMBRASIL: Foi i...
1400	Chácara Primavera, Campinas	Apartamento bem localizado no Mansões, com 2 dormitórios sendo 1 suíte, sala, cozinha planejada e dois banheiros com 1 vaga de garagem coberta. Agende sua visita com um dos nos...
2000	Jardim São José, Campinas	Salão comercial, contendo sala, recepção, escritório, mezanino aberto e 02 banheiros com pé direito de 06 metros, piso industrial, energia trifásica, portão de entrada com 4,5 m² d...
780	Rua Isolethe Augusta Sousa Aranha, Centro	Excelente apartamento com 1 dormitório sendo suite com armário , sala para 2 ambientes, piso ardosia, cozinha com gabinete, área de serviço e wc empregada,1 vaga de garagem. -
2380	Rua Dona Josefina Sarmento, Cambuí	Apartamento para locação. Prédio novo, localização desejada, próximo à padaria, escolas, comércios, praça, 2 suítes com armários, lavabo, sala para 2 ambientes com sacada, cozinha...
1800	Rua Martinho Calsavara, Swift	Apartamento para locação Perfect LIfe .Localização próximo às faculdades Mandic / Unip.Excelente apartamento, 78 m² sala 2 ambientes, sanca com spots, espelhos e papel de p...
4500	Rua São Salvador, Taquaral	Excelente apartamento com 3 dormitórios sendo todos suítes ricos em armários, ampla sala 2 ambientes e Home Office, varanda gourmet, cozinha toda planejada, área de serviço e despe...
1800	Rua Martinho Calsavara, Swift	Apartamento para Aluguel - Swift, 2 Quartos, 59 - Campinas
1000	Rua Ernesto Khulmann, Centro	Apartamento no centro com 3 dormitórios sendo 1 com suite, sala ampla, cozinha , banheiro, área de serviço, 2 elevadores. -
1490	Vila Andrade Neves, Campinas	Apartamento mobiliado para alugar 2 dormitórios no Bonfim em Campinas na imobiliária CMB Imóveis.Excelente apartamento mobiliado, amplo e moderno, 2 dormitórios com armário...
3200	Rua Santa Cruz, Cambuí	Apartamento inteiramente reformado em localização ímpar, ao lado de supermercado, academia e todas as conveniências. O imóvel inclui três dormitórios, sendo que um deles é suít...
2625	Rua Adelino Martins, Mansões Santo Antônio	Apartamento para Aluguel - Mansões Santo Antônio, 2 Quartos, 69 - Campinas
2600	Rua César dos Santos, Parque Imperador	Casa para Aluguel - Parque Imperador, 3 Quartos, 200 - Campinas
2000	Avenida Maria Emília Alves dos Santos de Ângelis, Parque Prado	Apartamento para Aluguel - Parque Prado, 2 Quartos, 65 - Campinas
1350	Rua Djalma Inácio Furtado, Jardim Antonio Von Zuben	Apartamento para Aluguel - Jardim Antonio Von Zuben, 2 Quartos, 44 - Campinas
